File accession	Assay	File assembly	Output type	Biosample term name	Biosample type	Experiment target	Biological replicate(s)	Technical replicate(s)	File download URL	Genome annotation
ENCFF296UGP	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF296UGP/@@download/ENCFF296UGP.tsv	V29
ENCFF247KYR	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	3	3_1	https://www.encodeproject.org/files/ENCFF247KYR/@@download/ENCFF247KYR.tsv	V29
ENCFF131NEX	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF131NEX/@@download/ENCFF131NEX.tsv	V29
ENCFF562ECY	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	4	4_1	https://www.encodeproject.org/files/ENCFF562ECY/@@download/ENCFF562ECY.tsv	V29
ENCFF006IHP	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF006IHP/@@download/ENCFF006IHP.tsv	V29
ENCFF190XYJ	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF190XYJ/@@download/ENCFF190XYJ.tsv	V29
ENCFF819LFK	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF819LFK/@@download/ENCFF819LFK.tsv	V29
ENCFF806WAH	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF806WAH/@@download/ENCFF806WAH.tsv	V29
ENCFF582HOU	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF582HOU/@@download/ENCFF582HOU.tsv	V29
ENCFF497FXX	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF497FXX/@@download/ENCFF497FXX.tsv	V29
ENCFF951EEA	total RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_2	https://www.encodeproject.org/files/ENCFF951EEA/@@download/ENCFF951EEA.tsv	V29
ENCFF395XDK	total RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF395XDK/@@download/ENCFF395XDK.tsv	V29
ENCFF174OMR	total RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF174OMR/@@download/ENCFF174OMR.tsv	V29
ENCFF910OBU	total RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF910OBU/@@download/ENCFF910OBU.tsv	V29
ENCFF243GKW	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF243GKW/@@download/ENCFF243GKW.tsv	V29
ENCFF432RPO	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF432RPO/@@download/ENCFF432RPO.tsv	V29
ENCFF321HCT	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF321HCT/@@download/ENCFF321HCT.tsv	V29
ENCFF736CCO	polyA plus RNA-seq	GRCh38	gene quantifications	H1	cell line	nan	2	2_1	https://www.encodeproject.org/files/ENCFF736CCO/@@download/ENCFF736CCO.tsv	V29
ENCFF232GUZ	DNase-seq	GRCh38	read-depth normalized signal	H1	cell line	nan	1	1_1	https://www.encodeproject.org/files/ENCFF232GUZ/@@download/ENCFF232GUZ.bigWig	nan
